Country,Military_2020,Military_2021,Military_2022,Military_2023,GDP_2020,GDP_2021,GDP_2022,GDP_2023,Trade_2020,Trade_2021,Trade_2022,Risk_Score,Military_GDP_Ratio
India,72815.43572954128,76253.50047049722,79887.01126903249,82262.1715631578,2674851578587.27,3167270623260.47,3346107287730.93,3638489096033.86,37.7581053292768,45.4230887840446,50.0752701498882,2,2.2608882256326614e-06
Pakistan,10242.196437022769,11616.6381367664,10336.494224143536,8626.157588370106,300425609817.981,348516647445.148,374890295666.694,336686348609.266,26.7162807328814,27.0304204125548,33.031353478032,2,2.5620752442152044e-06
China,258019.5133654136,286064.6305709759,291568.5336789456,296256.20913908485,14996414166715.1,18201698719564.0,18316765021690.2,18270356654533.2,34.0389507864581,36.5206911762676,37.440719876366,1,1.6215130045946775e-06
